Village;Population;km2_size
Saint-Georges-sur-Meuse;6785;20,90
Itter;5651;34,92
Chièvres;6006;46,91
Sint-Laureins;6513;74,50
Hoegaarden;6014;33,93
Hensies;6782;25,99
Pittem;6629;34,42
Quiévrain;6713;21,22
Herne;6372;44,63
Kluisbergen;6086;30,38
Lierde;6291;26,13
Moerbeke;5753;37,80
Villers-le-Bouillet;5653;32,71
Ramillies;5295;48,68
Kaprijke;6175;33,71
Wortegem-Petegem;6071;41,96
Braives;5352;44,00
Maarkedal;6448;45,63
Bekkevoort;5726;37,17
Engis;5689;27,74
Geetbets;5793;35,17
Hastière;4976;56,46
Remicourt;4753;22,58
Elzele;5580;44,69
Etalle;4890;78,10
Lontzen;5010;28,73
Somme-Leuze;4170;95,09
Limburg;5495;24,63
Vaux-sur-Sûre;4176;135,87
Lobbes;5520;32,08
Pecq;5157;32,91
Nandrin;5376;35,90
Lendelede;5502;13,15
Drogenbos;4693;2,49
Florenville;5546;146,91
Viroinval;5623;120,90
Hotton;4890;57,32
Attert;4118;70,94
Thimister-Clermont;5075;28,73
Léglise;3701;172,92
Saint-Hubert;5727;111,16
Celles;5415;67,14
Bütgenbach;5550;97,31
Nassogne;4760;111,96
Héron;4195;38,32
Amel;5069;125,15
Incourt;4114;38,79
Marchin;4935;30,00
Büllingen;5287;150,49
Paliseul;5006;112,96
Bouillon;5437;149,09
Gouvy;4581;165,11
Ruiselede;5048;30,20
Comblain-au-Pont;5189;22,68
Glabbeek;5071;26,78
Momignies;5128;85,58
Havelange;4622;104,73
Libin;4341;139,72
Rumes;5064;23,72
Chiny;4885;113,69
Houffalize;4501;166,58
Ohey;4063;56,62
Honnelles;5052;43,65
Houyet;4433;122,31
Alveringem;4805;80,01
Ferrières;4208;56,90
Cerfontaine;4334;83,45
Sivry-Rance;4506;72,97
Linkebeek;4751;4,15
Clavier;4120;79,12
Musson;3893;34,81
Gedinne;4344;151,56
Lens;3729;49,42
Pepingen;4247;36,05
Baelen;3852;85,73
Tintigny;3436;81,79
Aubel;3851;18,83
Verlaine;3429;24,21
Merbes-le-Château;4032;30,24
Modave;3588;40,37
La Roche-en-Ardenne;4107;147,52
Anthisnes;3881;37,08
Voeren;4315;50,63
Olne;3731;15,99
Froidchapelle;3315;86,03
Burg-Reuland;3787;108,96
Faimes;3155;28,48
Oerle;3317;19,64
Hamoir;3510;27,80
Mont-de-l'Enclus;3172;26,93
Bertogne;2724;91,67
Brugelette;3344;28,40
Saint-Léger;3192;35,86
Vleteren;3593;38,15
Hélécine;2848;16,62
Manhay;2885;119,81
Lierneux;3317;92,08
Crisnée;2584;16,83
Geer;2570;23,62
Vloesberg;3194;23,00
Bièvre;3140;109,59
Lijsem;2806;14,75
Burdinne;2709;32,57
Érezée;2745;78,44
Fexhe-le-Haut-Clocher;2930;19,25
Lo-Reninge;3217;62,94
Onhaye;3011;65,53
Berloz;2620;14,49
Stoumont;2873;108,45
Wellin;2837;67,52
Donceel;2653;23,31
Wasseiges;2241;24,45
Doische;2840;84,02
Baarle-Hertog;2120;7,48
Tenneville;2449;91,81
Meix-devant-Virton;2691;54,20
Ouffet;2474;40,22
Zuienkerke;2790;48,86
Tinlot;2184;37,12
Rendeux;2217;68,83
Sainte-Ode;2181;97,87
Trois-Ponts;2346;68,90
Vresse-sur-Semois;2810;101,04
Tellin;2229;56,64
Fauvillers;1838;74,11
Bever;1980;19,78
Rouvroy;1877;27,68
Spiere-Helkijn;1858;10,78
Horebeke;1968;11,20
Martelange;1428;29,67
Herbeumont;1434;58,81
Daverdisse;1360;56,40
Mesen;964;3,58
Herstappe;85;1,35
